storage_number,cell_barcode,barcode,cell,material,match_status
Test#A6-0000022,Test_2025_01_16_7532,7532,159,SUS400,OK
Test#B6-0000022,Test_2025_01_16_7532,7532,159,SUS400,OK
Test#A7-0000031,Test_2025_01_16_7531,7531,160,SUS400,OK
Test#B7-0000031,Test_2025_01_16_7531,7531,160,SUS400,OK
Test#A1-0000065,Test_2025_01_16_7530,7530,161,SUS400,OK
Test#B1-0000065,Test_2025_01_16_7530,7530,161,SUS400,OK
Test#A7-0000063,Test_2025_01_16_7526,7526,162,CU500,OK
Test#B7-0000063,Test_2025_01_16_7526,7526,162,CU500,OK
Test#A3-0000003,Test_2025_01_16_7524,7524,164,CU500,OK
Test#B3-0000003,Test_2025_01_16_7524,7524,164,CU500,OK
Test#A2-0000114,Test_2025_01_16_7523,7523,165,CU500,OK
Test#B2-0000114,Test_2025_01_16_7523,7523,165,CU500,OK
Test#A4-0000004,Test_2025_01_16_7522,7522,166,CU500,OK
Test#B4-0000004,Test_2025_01_16_7522,7522,166,CU500,OK
Test#A8-0000128,Test_2025_01_16_7521,7521,167,CU500,OK
Test#B8-0000128,Test_2025_01_16_7521,7521,167,CU500,OK
Test#A4-0000116,Test_2025_01_16_7519,7519,169,CU500,OK
Test#B4-0000116,Test_2025_01_16_7519,7519,169,CU500,OK
Test#A1-0000001,Test_2025_01_16_7517,7517,171,CU400,OK
Test#B1-0000001,Test_2025_01_16_7517,7517,171,CU400,OK
Test#A6-0000046,Test_2025_01_16_7640,7640,176,AL_A_1200,OK
Test#B6-0000046,Test_2025_01_16_7640,7640,176,AL_A_1200,OK
Test#A7-0000119,Test_2025_01_16_7637,7637,177,AL_A_1200,OK
Test#B7-0000119,Test_2025_01_16_7637,7637,177,AL_A_1200,OK
Test#A7-0000007,Test_2025_01_16_7635,7635,180,AL_A_1200,OK
Test#B7-0000007,Test_2025_01_16_7635,7635,180,AL_A_1200,OK
Test#A3-0000011,Test_2025_01_16_7636,7636,181,AL_A_1200,OK
Test#B3-0000011,Test_2025_01_16_7636,7636,181,AL_A_1200,OK
Test#A5-0000053,Test_2025_01_16_7633,7633,182,AL_A_1200,OK
Test#B5-0000053,Test_2025_01_16_7633,7633,182,AL_A_1200,OK
Test#A6-0000070,Test_2025_01_16_7594,7594,183,SCRAP7,OK
Test#B6-0000070,Test_2025_01_16_7594,7594,183,SCRAP7,OK
Test#A6-0000062,Test_2025_01_16_7602,7602,184,SCRAP7,OK
Test#B6-0000062,Test_2025_01_16_7602,7602,184,SCRAP7,OK
Test#A8-0000056,Test_2025_01_16_7588,7588,185,SCRAP7,OK
Test#B8-0000056,Test_2025_01_16_7588,7588,185,SCRAP7,OK
Test#A5-0000061,Test_2025_01_16_7589,7589,186,SCRAP7,OK
Test#B5-0000061,Test_2025_01_16_7589,7589,186,SCRAP7,OK
Test#A2-0000122,Test_2025_01_16_7619,7619,187,AL_A_1200,OK
Test#B2-0000122,Test_2025_01_16_7619,7619,187,AL_A_1200,OK
Test#A1-0000049,Test_2025_01_16_7625,7625,188,AL_A_1200,OK
Test#B1-0000049,Test_2025_01_16_7625,7625,188,AL_A_1200,OK
Test#A4-0000068,Test_2025_01_16_7618,7618,189,AL_A_1200,OK
Test#B4-0000068,Test_2025_01_16_7618,7618,189,AL_A_1200,OK
Test#A2-0000042,Test_2025_01_16_7626,7626,190,AL_A_1200,OK
Test#B2-0000042,Test_2025_01_16_7626,7626,190,AL_A_1200,OK
Test#A7-0000143,Test_2025_01_16_7623,7623,191,AL_A_1200,OK
Test#B7-0000143,Test_2025_01_16_7623,7623,191,AL_A_1200,OK
Test#A4-0000108,Test_2025_01_16_7616,7616,192,AL_A_1200,OK
Test#B4-0000108,Test_2025_01_16_7616,7616,192,AL_A_1200,OK
Test#A6-0000110,Test_2025_01_16_7615,7615,193,AL_A_1200,OK
Test#B6-0000110,Test_2025_01_16_7615,7615,193,AL_A_1200,OK
Test#A2-0000002,Test_2025_01_16_7628,7628,194,AL_A_1200,OK
Test#B2-0000002,Test_2025_01_16_7628,7628,194,AL_A_1200,OK
Test#A2-0000074,Test_2025_01_16_7630,7630,195,AL_A_1200,OK
Test#B2-0000074,Test_2025_01_16_7630,7630,195,AL_A_1200,OK
