No,cell_barcode,barcode,cell,A열_저장번호,A열_이물정보,B열_저장번호,B열_이물정보,match_status
65,Test_2025_01_16_7530,7530,161,Test#A1-0000065,SUS/BALL/400/BC1C2,Test#B1-0000065,SUS/BALL/400/BC1C2,OK
66,Test_2025_01_16_7735,7735,41,Test#A2-0000066,SUS/BALL/500/A1C1,Test#B2-0000066,SUS/BALL/500/A1C1,OK
67,Test_2025_01_16_7548,7548,109,Test#A3-0000067,AL/BALL/1000/BC1,Test#B3-0000067,AL/BALL/1000/BC1,OK
68,Test_2025_01_16_7618,7618,189,Test#A4-0000068,AL/BALL/1200/A2C1,Test#B4-0000068,AL/BALL/1200/A2C1,OK
69,Test_2025_01_16_7740,7740,249,Test#A5-0000069,SUS/BALL/400/A2C1C2,Test#B5-0000069,SUS/BALL/400/A2C1C2,OK
70,Test_2025_01_16_7594,7594,183,Test#A6-0000070,SCRAP/SCRAP/7X7/A2,Test#B6-0000070,SCRAP/SCRAP/7X7/A2,OK
71,Test_2025_01_16_7708,7708,NULL,Test#A7-0000071,매칭 실패,Test#B7-0000071,매칭 실패,barcode 매칭 실패
72,Test_2025_01_16_7759,7759,105,Test#A8-0000072,CU/BALL/500/A2C1,Test#B8-0000072,CU/BALL/500/A2C1,OK
73,Test_2025_01_16_7762,7762,92,Test#A1-0000073,CU/BALL/500/A1C1,Test#B1-0000073,CU/BALL/500/A1C1,OK
74,Test_2025_01_16_7630,7630,195,Test#A2-0000074,AL/BALL/1200/A1C1,Test#B2-0000074,AL/BALL/1200/A1C1,OK
75,Test_2025_01_16_7564,7564,132,Test#A3-0000075,AL/BALL/1200/BC1,Test#B3-0000075,AL/BALL/1200/BC1,OK
76,Test_2025_01_16_7560,7560,136,Test#A4-0000076,AL/BALL/1200/BC1,Test#B4-0000076,AL/BALL/1200/BC1,OK
77,Test_2025_01_16_7668,7668,31,Test#A5-0000077,SCRAP/SCRAP/7X7/B,Test#B5-0000077,SCRAP/SCRAP/7X7/B,OK
78,Test_2025_01_16_7672,7672,25,Test#A6-0000078,SCRAP/SCRAP/7X7/B,Test#B6-0000078,SCRAP/SCRAP/7X7/B,OK
79,Test_2025_01_16_7753,7753,99,Test#A7-0000079,CU/BALL/500/A2C1,Test#B7-0000079,CU/BALL/500/A2C1,OK
80,Test_2025_01_16_7709,7709,58,Test#A8-0000080,AL/BALL/1000/A1C1,Test#B8-0000080,AL/BALL/1000/A1C1,OK
81,Test_2025_01_16_7691,7691,12,Test#A1-0000081,SCRAP/SCRAP/6X6/A2,Test#B1-0000081,SCRAP/SCRAP/6X6/A2,OK
82,Test_2025_01_16_7559,7559,137,Test#A2-0000082,AL/BALL/1200/BC1,Test#B2-0000082,AL/BALL/1200/BC1,OK
83,Test_2025_01_16_7537,7537,155,Test#A3-0000083,SUS/BALL/500/BC1C2,Test#B3-0000083,SUS/BALL/500/BC1C2,OK
84,Test_2025_01_16_7730,7730,46,Test#A4-0000084,SUS/BALL/500/A1C1,Test#B4-0000084,SUS/BALL/500/A1C1,OK
85,Test_2025_01_16_7723,7723,35,Test#A5-0000085,SUS/BALL/500/A2C1,Test#B5-0000085,SUS/BALL/500/A2C1,OK
86,Test_2025_01_16_7767,7767,95,Test#A6-0000086,CU/BALL/500/A1C1,Test#B6-0000086,CU/BALL/500/A1C1,OK
87,Test_2025_01_16_7565,7565,131,Test#A7-0000087,AL/BALL/1200/BC1,Test#B7-0000087,AL/BALL/1200/BC1,OK
88,Test_2025_01_16_7556,7556,140,Test#A8-0000088,AL/BALL/1200/BC1,Test#B8-0000088,AL/BALL/1200/BC1,OK
89,Test_2025_01_16_7716,7716,57,Test#A1-0000089,AL/BALL/1000/A1C1,Test#B1-0000089,AL/BALL/1000/A1C1,OK
90,Test_2025_01_16_7670,7670,28,Test#A2-0000090,SCRAP/SCRAP/7X7/B,Test#B2-0000090,SCRAP/SCRAP/7X7/B,OK
91,Test_2025_01_16_7673,7673,26,Test#A3-0000091,SCRAP/SCRAP/7X7/B,Test#B3-0000091,SCRAP/SCRAP/7X7/B,OK
92,Test_2025_01_16_7769,7769,86,Test#A4-0000092,CU/BALL/400/A2C1,Test#B4-0000092,CU/BALL/400/A2C1,OK
93,Test_2025_01_16_7768,7768,85,Test#A5-0000093,CU/BALL/400/A2C1,Test#B5-0000093,CU/BALL/400/A2C1,OK
94,Test_2025_01_16_7671,7671,27,Test#A6-0000094,SCRAP/SCRAP/7X7/B,Test#B6-0000094,SCRAP/SCRAP/7X7/B,OK
